1.jpg	0.810323	0.049531	0.049531	0.328019	0.387782	0.328019	0.198488	0.546179	0.546179	0.198488	0.206838	0.070043	0.950469	0.070043	0.206838	0.365866	0.836859	0.163141	
2.jpg	0.973776	0.245681	0.245681	0.241381	0.026224	0.241381	0.321916	0.664549	0.664549	0.321916	0.302841	0.105434	0.680134	0.105434	0.302841	0.546296	0.776190	0.223810	
3.jpg	0.918881	0.179301	0.179301	0.234687	0.531239	0.234687	0.165384	0.097529	0.097529	0.165384	0.128899	0.081119	0.109641	0.081119	0.128899	0.537214	0.705873	0.294127	
4.jpg	0.715909	0.185301	0.185301	0.288413	0.166987	0.288413	0.106924	0.916535	0.916535	0.106924	0.083465	0.324788	0.157386	0.324788	0.083465	0.583245	0.825420	0.174580	
5.jpg	0.928887	0.071113	0.071113	0.224792	0.415843	0.224792	0.170822	0.338058	0.338058	0.170822	0.101480	0.171284	0.437310	0.171284	0.101480	0.413540	0.738121	0.261879	
6.jpg	0.690256	0.108493	0.108493	0.214352	0.128708	0.214352	0.238877	0.415580	0.415580	0.238877	0.166306	0.159648	0.891507	0.159648	0.166306	0.864823	0.637048	0.135177	
7.jpg	0.862841	0.352826	0.352826	0.261074	0.246882	0.261074	0.092474	0.907526	0.907526	0.092474	0.183537	0.429310	0.524845	0.429310	0.183537	0.827271	0.603531	0.172729	
8.jpg	0.972685	0.159735	0.159735	0.509418	0.090080	0.509418	0.106563	0.027315	0.027315	0.106563	0.130961	0.737330	0.183121	0.737330	0.130961	0.821127	0.601607	0.178873	
9.jpg	0.976609	0.160376	0.160376	0.517380	0.102709	0.517380	0.112957	0.023391	0.023391	0.112957	0.137518	0.746460	0.189025	0.746460	0.137518	0.821107	0.602702	0.178893	
10.jpg	0.875839	0.124161	0.124161	0.272326	0.199912	0.272326	0.202649	0.207122	0.207122	0.202649	0.137208	0.803338	0.180211	0.803338	0.137208	0.818741	0.658253	0.181259	
11.jpg	0.991825	0.008175	0.008175	0.808015	0.923984	0.808015	0.025576	0.059221	0.059221	0.025576	0.762410	0.488274	0.475936	0.488274	0.762410	0.551749	0.693937	0.306063	
12.jpg	0.961673	0.038327	0.038327	0.779870	0.117076	0.779870	0.163945	0.099043	0.099043	0.163945	0.083813	0.656363	0.609568	0.656363	0.083813	0.836738	0.447400	0.163262	
13.jpg	0.940400	0.189111	0.189111	0.605860	0.320732	0.605860	0.263467	0.059600	0.059600	0.263467	0.318393	0.319879	0.231395	0.319879	0.318393	0.767402	0.718283	0.232598	
14.jpg	0.885913	0.193941	0.193941	0.303232	0.158816	0.303232	0.241983	0.338066	0.338066	0.241983	0.114087	0.652330	0.446505	0.652330	0.114087	0.815319	0.619896	0.184681	
15.jpg	0.871972	0.128028	0.128028	0.347454	0.323948	0.347454	0.260580	0.405129	0.405129	0.260580	0.165280	0.211409	0.212262	0.211409	0.165280	0.743198	0.653470	0.256802	
16.jpg	0.880793	0.119207	0.119207	0.213945	0.697226	0.213945	0.274356	0.252019	0.252019	0.274356	0.311611	0.618766	0.576220	0.618766	0.311611	0.723895	0.776449	0.223551	
17.jpg	0.884919	0.226613	0.226613	0.309809	0.499915	0.309809	0.123349	0.281139	0.281139	0.123349	0.115081	0.236580	0.290695	0.236580	0.115081	0.470214	0.706355	0.293645	
18.jpg	0.927333	0.103705	0.103705	0.072667	0.784870	0.072667	0.121583	0.083240	0.083240	0.121583	0.364486	0.209684	0.525227	0.209684	0.364486	0.801441	0.538652	0.198559	
