2.jpg	0.029576	0.000000	0.227150	0.098074	0.846206	0.777024	1.000000	0.684296	
3.jpg	0.058405	0.000000	0.283274	0.205590	0.749041	0.835722	1.000000	0.972303	
4.jpg	0.000000	0.103721	0.121095	0.437651	0.695490	0.744794	0.704730	1.000000	
5.jpg	0.000000	0.060761	0.345953	0.177346	0.273654	0.547218	1.000000	0.614901	
6.jpg	0.115404	0.000000	0.419947	0.203651	0.793919	0.699648	1.000000	0.778764	
7.jpg	0.139832	0.000000	0.328826	0.212651	0.752477	0.772286	1.000000	0.871734	
8.jpg	0.164592	0.000000	0.300887	0.203742	0.994716	0.832083	1.000000	0.861926	
9.jpg	0.000000	0.155369	0.169350	0.289444	0.785684	0.945769	0.844727	1.000000	
10.jpg	0.000000	0.130132	0.195946	0.250542	0.740188	0.813372	0.726143	1.000000	
11.jpg	0.000000	0.245401	0.053587	0.415305	0.521082	0.798739	0.537638	1.000000	
12.jpg	0.000000	0.162233	0.097767	0.264038	0.713466	0.881531	0.870122	1.000000	
13.jpg	0.000000	0.232021	0.106526	0.442223	0.725996	0.840321	0.681160	1.000000	
14.jpg	0.042631	0.000000	0.329138	0.224169	0.750522	0.756398	1.000000	0.942246	
15.jpg	0.000000	0.006379	0.154931	0.229986	0.816360	0.919017	0.904011	1.000000	
16.jpg	0.000000	0.110035	0.066749	0.266752	0.534815	0.786273	0.603293	1.000000	
17.jpg	0.051327	0.000000	0.275923	0.199285	0.836583	0.797800	1.000000	0.912253	
18.jpg	0.000000	0.138617	0.168544	0.293420	0.946412	1.000000	0.948903	0.995019	
19.jpg	0.177543	0.000000	0.341242	0.144666	1.000000	0.725881	0.965242	0.719382	
20.jpg	0.013376	0.000000	0.160055	0.183590	0.760888	0.778627	0.938795	1.000000	
21.jpg	0.000000	0.034300	0.153025	0.200904	0.584425	0.941045	0.772423	1.000000	
22.jpg	0.000000	0.153888	0.073581	0.320937	0.699842	0.711754	0.641948	1.000000	
23.jpg	0.182051	0.000000	0.369893	0.148266	0.793089	0.839814	1.000000	0.816944	
24.jpg	0.000000	0.134747	0.167495	0.367978	0.725798	0.842910	0.895872	1.000000	
25.jpg	0.000000	0.171732	0.159404	0.405519	0.884856	0.947641	0.976178	1.000000	
26.jpg	0.000000	0.029653	0.194581	0.217825	0.953061	0.925346	0.935785	1.000000	
27.jpg	0.000000	0.038072	0.191363	0.316121	0.664498	0.772510	0.954897	1.000000	
28.jpg	0.045203	0.000000	0.217954	0.240313	0.952576	1.000000	0.943196	0.962058	
29.jpg	0.018689	0.000000	0.297293	0.166161	0.719054	0.861874	0.981797	1.000000	
30.jpg	0.016213	0.000000	0.189587	0.181191	0.809822	0.790384	0.991589	1.000000	
